MENTION,position,situation,votes,party,state,region,term,age,Twitter,twitter_followers,Facebook,facebook_followers,Instagram,instagram_followers,YouTube,youtube_link,youtube_followers,Site,variations
Leda Sadala,Deputada Federal,Titular em exercício,11.301,AVANTE,AP,Norte,fev-2019/jan-2023,54,@dep_ledasadala,1.464,Leda Sadala ,4.226,@dep_ledasadala,3.419,UCljsZJnAxb2-a7qnvttqDTQ,https://www.youtube.com/channel/UCljsZJnAxb2-a7qnvttqDTQ/videos,51,,"Leda Sadala, dep_ledasadala, Leda Sadalla, Leda Salada"
Lídice da Mata,Deputada Federal,Titular em exercício,104.348,PSB,BA,Nordeste,fev-2019/jan-2023,65,@lidicedamata,51.076,Lídice da Mata ,78.935,@lidicedamata,"29,9 mil",UCtvqYQdsoL-n0MXR_8_dx4A,https://www.youtube.com/user/lidicedamata/videos,190,,"Lídice da Mata, Lídice Mata        Lídice da Matta        Lídice Matta        Lidise da Mata"
Liziane Bayer,Deputada Federal,Titular em exercício,52.977,PSB,RS,Sul,fev-2019/jan-2023,40,@LizianeBayer,3.158,Liziane Bayer ,22.978,@lizianebayeroficial,"15,9 mil",UC_vxCqbB1nOt2MDOxIirmTw,https://www.youtube.com/channel/UC_vxCqbB1nOt2MDOxIirmTw,519,,"Liziane Bayer, lizianebayeroficial, Lizziane Bayer, Lizziane Baier        Lisiane Bayer, Lisiane Baier, Liziane Baier"
Luisa Canziani,Deputada Federal,Titular em exercício,90.249,PTB,PR,Sul,fev-2019/jan-2023,24,@luisa_canziani,3.261,Luísa Canziani ,43.862,@luisa_canziani,"24, 7 mil",UCeSk5PXK_hUClUyv31J68MA,https://www.youtube.com/c/LuisaCanzianiOficial/videos,145,,"Luisa Canziani, LuisaCanzianiOficial, Luiza Canziani        Luiza Cansiani        Luisa Cansiani        Luisa Canciani"
Luiza Erundina,Deputada Federal,Titular em exercício,176.883,PSOL,SP,Sudeste,fev-2019/jan-2023,86,@luizaerundina,303.976,Luiza Erundina ,307.944,@luizaerundina,392 mil,UCoaKdVCVAZZm6ICdbi_i99Q,https://www.youtube.com/user/deputadluizaerundina,3.330,,"Luiza Erundina, deputadluizaerundina, Luisa Erundina, Erundina, Luiza Erondina, Luisa Erondina"
Luizianne Lins,Deputada Federal,Titular em exercício,,PT,CE,Nordeste,,,,,,,,,UCnm3dVhAbABhHogNn2sgtDA,https://www.youtube.com/user/1313luizianne,1.850,,"Luizianne Lins, luiziannelinspt, LuizianneLinsPT, Luiziane Lins, Luiziani Lins, Luizianni Lins, Lizianne Lins, Liziane Lins"
Magda Mofatto,Deputada Federal,Titular em exercício,83.420,PL,GO,Centro-Oeste,fev-2019/jan-2023,72,@MofattoMagda,300,Magda Mofatto,76.114,@magdamofatto.goias,"50,1 mil",UCnULMGxMdh8i5gRLtMvPPgA,https://www.youtube.com/channel/UCnULMGxMdh8i5gRLtMvPPgA,3,,"Magda Mofatto, magdamofatto.goias, Magda Mofato, Magda Mofado"
Major Fabiana,Deputada Federal,Titular em exercício,57.611,UNIÃO,RJ,Sudeste,fev-2019/jan-2023,41,@majorfabianadep,130.947,Major Fabiana ,39.102,@majorfabianadepfed,145 mil,UC-APcV0heIVxmq82GXv7hAg,https://www.youtube.com/channel/UC-APcV0heIVxmq82GXv7hAg,947,,"Major Fabiana, majorfabianadepfed, Mj Fabiana, majorfabianadep"
Mara Rocha,Deputada Federal,Titular em exercício,40.047,PSDB,AC,Norte,fev-2019/jan-2023,47,@mararocha4545,357,Mara Rocha,13.458,@mararochaoficial,9.596,Não tem,,,,"Mara Rocha, mararochaoficial, mararocha4545, Deputada Mara Rocha"
Margarete Coelho,Deputada Federal,Titular em exercício,76.246,PROGRESSISTAS,PI,Nordeste,fev-2019/jan-2023,60,@MargaretCoelho,3.039,Margarete Coelho ,17.883,@margaretecoelho,"35,4 mil",UCBgAntt68qby62jGIQrq0WQ,https://www.youtube.com/channel/UCBgAntt68qby62jGIQrq0WQ/videos,49,,"Margarete Coelho, Margarette Coelho, Margarett Coelho, Margareth Coelho, Margareti Coelho, Margaret Coelho"
