URL,TEXT,AUTHOR_NAME,nn,AUTHOR_NICK,Followers.at.Posting,Post.Created,Post.Created.Date,Post.Created.Time,Type,Total.Interactions,Likes,Comments,Views,Like.and.View.Counts.Disabled,Link,Photo,Title,Image.Text,Sponsor.Id,Sponsor.Name,Total.Interactions.weighted,Overperforming.Score,GRAU_OFENSA,TIPO_RETORIC,DESINFO,BRINCADEIRA,GÊNERO,ORIENT.SEX,RACA,APARENCIA,ORIGEM.GEO,COND.FISIC,COND.SOC,RELIG,POL.IDEOLOG,COMENTARIO,OBSERVACOES
https://www.instagram.com/p/CVdlZO-rq-_/,"Sabes que son las palabras gatillo? 

Una de las técnicas utilizadas en el Ho’oponopono para sanar y borrar memorias erróneas, es el uso de las Palabras Gatillo.
Estas son frases diseñadas específicamente para conectar con el momento presente y la situación particular que genera preocupación.
Cada palabra tiene un significado que limpia, activa y conecta. Son especiales y poderosas.
Nos conectan con la divinidad que habita en nosotros. Podés usar las palabras gatillo según lo que sentís que necesitas cada día o porque te inspiren o simplemente por intuición. Podes repetir/mantrear las frases todas las veces que quieras o sientas y en el momento que lo creas necesario.
-
-Ejemplo: Llovizna, Llovizna, Llovizna -
O en conjunto con el mantra de ho’oponopono! 
-Ejemplos:
Llovizna, Llovizna, Llovizna
“Lo siento, Perdóname, Te amo, Gracias”

Puedes decirlas en voz alta o en tu mente.

¿Quieres aprender a transformar tu ser con esta filosofía milenaria? 
Te esperamos en el taller Ho’oponopono el Jueves 11/11-18hs! para sanar, perdonar y reconciliarnos, para conectar con nuestro ser interior, con la divinidad y reconocer el poder creador que nos habita, nos da la oportunidad de la auto-sanación a través de la palabra! 
Te sumas? Pedinos info por mensaje!🥰

¿Que palabras gatillo utilizas? Te resonó alguna? Contanos!

Feliz hoy  #alquimistas para sanar💜

#somosalquimia
#leydeatraccion #meditacion #espiritualidad #buenavibra #madretierra #magia #angel #habitossaludables #energia #buenavibra #astrologia #viajeastral #frasespositivas  #buda #hoponopono #despertarespiritual #magiablanca",alquimiamultiespacio,315,#SomosAlquimia🧿,140651,2021-10-25 15:49:29 BRT,2021-10-25,15:49:29,Photo,2823,2733,90,0,FALSE,https://www.instagram.com/p/CVdlZO-rq-_/,https://scontent-sjc3-1.cdninstagram.com/v/t51.29350-15/248350023_228565395928225_7479406491224890193_n.jpg?_nc_cat=100&ccb=1-5&_nc_sid=8ae9d6&_nc_ohc=L-lMAbDo9pkAX-LLSrq&_nc_oc=AQko5DyeXs0tIVRXYcs-hO0KJkfbOM8KQEI_6rCmCElrO-2zH_qr_aptkP28ppCV4ZY&_nc_ht=scontent-sjc3-1.cdninstagram.com&oh=00_AT-ZBmKCDUMyvVMDrLGLzbltTcUxXg6YR7Cwt21-ratsYQ&oe=621E21B6,NA,"Palabras Gatte ""Flor de lis"" ""Color Blanco"" En cualquier situación de conflicto que no te de paz interior, repite: #SOMOSALQUIMIA Yo pongo la flor de lis en esta situación. Conecta con el amor ""Llovizna"" ""Yo soy el yo"" Se relaciona con la abundancia económica, prosperidad, corrige pensamientos creencias de carencia. ""Hojas de otoño"" Conexión con la divinidad. ""Verde esmeralda"" Asiste en enfermedades físicas. Para soltar, dejar ir, dejar partir, personas o situaciones que no necesitamos más en nuestra vida. Libertad.",NA,NA,2823,-1.2,Não Ofensivo,Outra,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
