URL,AUTHOR_NAME,AUTHOR_ID,AUTHOR_NICK,Page.Category,Page.Admin.Top.Country,Page.Description,Page.Created,Likes.at.Posting,Followers.at.Posting,Post.Created,Post.Created.Date,Post.Created.Time,Type,Total.Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video.Share.Status,Is.Video.Owner?,Post.Views,Total.Views,Total.Views.For.All.Crossposts,Video.Length,Link,Image.Text,Link.Text,Description,Total.Interactions.weighted,Overperforming.Score,GRAU_OFENSA,TIPO_RETORIC,DESINFO,BRINCADEIRA,GÊNERO,ORIENT.SEX,RACA,APARENCIA,ORIGEM.GEO,COND.FISIC,COND.SOC,RELIG,POL.IDEOLOG,COMENTARIO
https://www.facebook.com/282028542180876/posts/1410291936021192,mineiroconservador,282028542180876,Mineiro Conservador,COMMUNITY,BR,"Se você acredita nos antigos valores, e não se permite guiar pelas atuais ideologias liberais que tanto têm corrompido os bons costumes, curta nossa página",2016-09-07 12:24:01,N/A,N/A,2021-08-02 13:40:41 BRT,2021-08-02,13:40:41,Native Video,53,42,3,8,0,0,0,0,0,0,share,No,118,273349,0,00:01:14,https://www.facebook.com/biakicisoficial/videos/550989202766833/,NA,Bia Kicis,"O jornalismo sério questiona, não se submete às narrativas. É um absurdo essa campanha do TSE contra a transparência eleitoral.",53,1.66,Não Ofensivo,Outra,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
https://www.facebook.com/1135071249874140/posts/4544019045645993,palmagul,100064362262784,Palmagul,MEDIA_NEWS_COMPANY,PR,"""PR está en buenas manos""",2016-11-23 14:42:12,57570,64137,2021-12-23 10:30:00 BRT,2021-12-23,10:30:00,Photo,73,43,22,0,0,6,1,0,1,0,NA,-,0,0,0,N/A,https://www.facebook.com/palmagul/photos/a.1352558541458742/4544018848979346/?type=3,NA,Photos from Palmagul's post,NA,73,-2.34,Não Ofensivo,Outra,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
https://www.facebook.com/201795073176329/posts/4461824363840024,tvcostanorte,201795073176329,portalcostanorte,TV_CHANNEL,BR,TV Costa Norte - Parnaíba,2011-04-06 13:34:49,21256,33116,2021-10-01 08:17:18 BRT,2021-10-01,08:17:18,Link,3,2,0,1,0,0,0,0,0,0,NA,-,0,0,0,N/A,https://portalcostanorte.com/wellington-dias-e-margarete-coelho-tem-conversa-decisiva/,NA,Wellington Dias e Margarete Coelho têm conversa decisiva,"PolíticaWellington Dias e Margarete Coelho têm conversa decisiva  Publicado por Da Redação em 01/10/2021 0 1 min ler 9   Uma fonte em Brasília confirmou ao blog um encontro presencial, mas se fosse o caso virtual, entre o governador Wellington Dias (PT) e a deputada federal Margarete Coelho (...",3,-17.67,Não Ofensivo,Outra,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
https://www.facebook.com/100044193711013/posts/395374515279002,luizmeloentrevista,100044193711013,Luiz Melo,JOURNALIST,BR,"Luiz Melo Entrevista, criado em 1990, é o pioneiro no rádio-jornalismo amapaense.",2013-08-02 12:12:04,50921,58733,2021-08-18 20:17:04 BRT,2021-08-18,20:17:04,Photo,34,12,6,0,1,0,13,0,2,0,NA,-,0,0,0,N/A,https://www.facebook.com/photo.php?fbid=395374471945673&set=a.226946425455146&type=3,NA,NA,NA,34,-3.68,Não Ofensivo,Outra,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
https://www.facebook.com/164592962342/posts/10158081057777343,mesongranaino,164592962342,El Granaino,SPANISH_RESTAURANT,ES,www.mesongranaino.com,2009-10-22 11:19:50,9589,10304,2021-09-27 10:58:06 BRT,2021-09-27,10:58:06,Photo,29,26,0,1,2,0,0,0,0,0,NA,-,0,0,0,N/A,https://www.facebook.com/mesongranaino/photos/a.173165172342/10158081056387343/?type=3,Carmencita Carrefour tescoma Carrefour Carmencita tescoma. Carrefour Carmenota tescoma. Carrefour Carre tescoma. Carmencita Carrefou 100 tescoma. Carmencita tesco,Photos from El Granaino's post,NA,29,-2,Não Ofensivo,Outra,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
https://www.facebook.com/220778897969256/posts/389227712708567,deputadofederalzecadirceu,100044240385467,Zeca Dirceu,POLITICIAN,BR,"Deputado Federal Zeca Dirceu
www.zecadirceu.com.br",2011-08-18 03:10:17,114914,151039,2021-09-20 14:46:22 BRT,2021-09-20,14:46:22,Live Video Complete,36,26,1,6,3,0,0,0,0,0,crosspost,No,292,302,4242,03:09:40,https://www.facebook.com/deputadofederalzecadirceu/videos/389227712708567/,NA,"Voltamos - Seminário “100 anos de Paulo Freire, o Patrono da Educação Brasileira”",NA,36,-6.31,Não Ofensivo,Outra,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
https://www.facebook.com/461990540812267/posts/1526438061034171,depluizantonio,100044171934378,Luiz Antônio Corrêa,POLITICIAN,BR,Luiz Antônio é deputado federal pelo Estado do Rio de Janeiro. Eleito para a 56ª legislatura 2019,2017-05-19 23:20:01,13806,46331,2021-09-15 22:48:29 BRT,2021-09-15,22:48:29,Native Video,102,70,21,8,3,0,0,0,0,0,owned,Yes,352,416,0,00:01:20,https://www.facebook.com/depluizantonio/videos/243305494387542/,NA,APAE de Nova Friburgo recebe emenda de R$ 1 milhão,NA,102,-1.72,Não Ofensivo,Outra,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
https://www.facebook.com/852586808182569/posts/4295498027224746,Ageufish10,100067614003917,Sociedade alternativa.,COMMUNITY,BR,Seja dono do seu silêncio pra não ser escravos das suas palavras.,2015-10-12 18:09:49,1113,1224,2021-09-29 08:50:12 BRT,2021-09-29,08:50:12,Photo,1,0,1,0,0,0,0,0,0,0,NA,-,0,0,0,N/A,https://www.facebook.com/drasorayamanato/photos/a.323314868540460/935221737349767/?type=3,OESTE E ARLAATA FORA BOLSONARO FIM DESSE GOVERNO AUTORITARIO REVOLUÇÃO FORA MAAHIAOCS BOLSONARO FMPACIMETI VAI VENDO... Esquerda decide usar verdee amarelo e cantar o Hino Nacional em protestos contra Jair Bolsonaro Organizadores sustentam que querem resgatar símbolos usados em 'manifestações fascistas'. Dra. OaSoraya Manato Sorayamanato Drasorayamanato Dramanato,Dra. Soraya Manato,"VAI VENDO...
“A ideia é que o hino e a bandeira do Brasil sejam resgatados pelo campo republicano”, disse Fernando Guimarães, sociológico e coordenador do movimento “Direitos Já”.

Fonte: @revistaoeste",1,-23,Não Ofensivo,Outra,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
https://www.facebook.com/188272077957844/posts/4277696335682044,rankingdospoliticos,188272077957844,Ranking dos Políticos,NON_PROFIT,BR,"Somos um ranking que compara políticos de todo o Brasil, bem como divulga informações sobre boas práticas de governo. Acesse: www.politicos.org.br",2012-04-08 18:04:04,2166908,2291672,2021-08-20 18:00:19 BRT,2021-08-20,18:00:19,Photo,2404,1017,461,423,2,89,149,9,254,0,NA,-,0,0,0,N/A,https://www.facebook.com/rankingdospoliticos/photos/a.256607937790924/4277688402349504/?type=3,"BOLA FORA QUAL FOI O PIOR DA SEMANA? ALEXANDRE FROTA ALICE PORTUGAL VALMIR ASSUNÇÃO BRASIL ENDIVIDADO NÃO EXISTE ALMOÇO GRÁTIS QUER GRATUIDADE DE ÁGUA, LUZ GÁS PARA IMÃVEIS QUE FORAM ATINGIDOS PELA PANDEMIA. AFIRMOU QUE ""É UM DEVER DO ESTADO SE ENDIVIDAR CADA VEZ MAIS"" CONTRA A REFORMA AFIRMOU QUE A REFORMA ADMINISTRATIVA DESTRUIRIA ESTADO BRASILEIRO DEP. FEDERAL PSDB- SÃO PAULO DEP. FEDERAL PCDOB BAHIA DEP. FEDERAL PT- BAHIA RANKING POLÍTICOS ANTICORRUPÇÃO ANTIPRIVILEGIOS ANTIDESPERBÍCIOS RANKING POLÍTICOS",NA,NA,2404,-1.66,Crítica,Satírica,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
https://www.facebook.com/893792977494820/posts/1932020570338717,randalbaruerioficial,100063588551804,Randal,PERSON,BR,"Randal, administrador/secretário do centro de inovação e tecnologia da Prefeitura de Barueri. 
Pr",2018-06-09 00:12:28,6553,6980,2021-12-20 17:10:17 BRT,2021-12-20,17:10:17,Photo,40,32,3,1,2,0,2,0,0,0,NA,-,0,0,0,N/A,https://www.facebook.com/randalbaruerioficial/photos/a.957974431076674/1932020550338719/?type=3,Feliz 0 Nata! depbrunafurlan BRUNA FURLAN,NA,NA,40,01.03,Não Ofensivo,Outra,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
