AUTHOR_ID,TEXT,nn,in_reply_to_user_id,hashtags,possibly_sensitive,conversation_id,source,created_at,type,id1,ID,retweet_count,reply_count,like_count,quote_count,lang,GRAU_OFENSA,TIPO_RETORIC,DESINFO,BRINCADEIRA,GÊNERO,ORIENT.SEX,RACA,APARENCIA,ORIGEM.GEO,COND.FISIC,COND.SOC,RELIG,POL.IDEOLOG,COMENTARIO,OBSERVACOES
1086449207089733637,@CarlaZambelli38 AJA MILHO https://t.co/vPUVtZIDUu,321,975127727501185025,NULL,FALSE,1421885206764658692,Twitter Web App,2021-08-01T19:56:21.000Z,replied_to,1421885206764658692,1421922773228736514,0,0,0,0,pt,Não Ofensivo,Outra,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
76740035,"@CarlaZambelli38 Escutei no coração: E daí q seu filho morreu?, diz pai de vítima da covid. O filho de Marco Antônio do Nascimento Silva,faleceu em 2020. Emocionado,doloroso ouvir Bolsonaro perguntar “e daí? sobre vítimas da doença. Acho q merecíamos 1 pedido de desculpas da maior autoridade.",322,975127727501185025,NULL,FALSE,1449904217913806849,Twitter Web App,2021-10-18T21:10:11.000Z,replied_to,1450207606715396104,1449904217913806849,0,1,0,0,pt,Não Ofensivo,Outra,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
65954370,@jandira_feghali Cala a boca dragão,323,39116717,NULL,FALSE,1441396052993642501,Twitter for iPhone,2021-09-24T15:33:36.000Z,replied_to,1441396052993642501,1441425594596487169,0,0,0,0,pt,Insulto,Satírica,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
1101110755636797440,"Você tem culpa no cartório desta merda que virou Brasil, sua golpista. Deveria ter vergonha na cara. https://t.co/rpkvwalSmv",324,NA,NULL,FALSE,1437359046131134468,Twitter for Android,2021-09-13T10:14:36.000Z,quoted,1437359046131134468,1437193298683338752,0,0,1,0,pt,Insulto,Satírica,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
302529317,"@magalicostahot1 @alanlealsantos @KonigMachado @Bolsonaro2022FC @FusaroZila @Zeninha38 @Naval_51 @ngelaMarcia1 @MarcioM61326104 @oservo144000 @FFL1Marlene @KonigMachado2 @LumaMRBraz @LinsBel03 @Lugongeovana @MariaZilaF @mtcosmo1 @Mrlyrio @Fabioano121 @FafahMb1 @alesilva_38 Bora fazer crescer a conta do presidente no telegran.

Jair M. Bolsonaro 1
Canal Pessoal de Jair Messias Bolsonaro.
https://t.co/oqnCzqSYon",325,1244819955020967937,NULL,FALSE,1444148936114122753,Twitter for Android,2021-10-02T12:43:36.000Z,replied_to,1444148936114122753,1444281913594765312,0,0,1,0,pt,Não Ofensivo,Outra,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
1431727199581790222,@Biakicis TEVE  PARTICIPAÇÃO  DO  STEVEN SPIELBERG  ..??. OSCAR  EM  EFEITOS  ESPECIAIS  !,326,357030742,NULL,FALSE,1453189780393582593,Twitter for Android,2021-10-28T22:54:56.000Z,replied_to,1453857845531848723,1453189780393582593,0,0,0,0,pt,Invalidação,Desqualificadora,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
229499800,@jairbolsonaro @gettrbr @BolsonaroSP @FlavioBolsonaro @profcabarros @CarlaZambelli38 Para os burros q n entenderam: canetada de 100 reais a mais traz mais inflação e virarão pó logo mais por causa desse populismo e ainda vai dar mais prejuizo para o próprio pobre.,327,229499800,NULL,FALSE,1450460335454961666,Twitter for iPhone,2021-10-19T14:10:58.000Z,replied_to,1450464494937952263,1450460680742707205,0,0,0,0,pt,Não Ofensivo,Outra,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
456163561,@pbiaforo @CarlaZambelli38 Esse procedimento é seletivo!! André do Rap e os outros brandidos como José Dirceu estão aí a vontade planejando o golpe de estado! O que vc diz sobre isso já que vc lê muito?,328,36771584,NULL,FALSE,1432861855073153024,Twitter for iPhone,2021-09-01T07:55:54.000Z,replied_to,1432975488713052162,1432897057279389700,0,1,0,0,pt,Não Ofensivo,Outra,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
1432374036504485892,@CarlaZambelli38 @taoquei1 Duas ridículas!!,329,975127727501185025,NULL,FALSE,1442285040881135619,Twitter for Android,2021-09-27T10:24:20.000Z,replied_to,1442285040881135619,1442434929263001601,0,0,0,0,pt,Insulto,Satírica,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
1367914302057938944,"@Biakicis O castigo do corpo é a língua 👅 a palavra de Deus é bem clara, \toda palavra que sai da sua boca nunca volta vazia\ 🙏🏻",330,357030742,NULL,FALSE,1475255137014882314,Twitter for Android,2021-12-27T02:56:49.000Z,replied_to,1475255137014882314,1475299601401978880,0,0,0,0,pt,Insulto,Provocadora,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
